  60   15   60
  0
0.04 0.01 0.02 0.03 0.0 0.0 0.4 0.01 0.02 0.04 0.01 0.02 0.1 0.0 0.3
2   1   1   0.88 0.92 0.96
2   2   2   0.88 0.92 0.96
2   3   3   0.88 0.92 0.96
2   4   4   0.88 0.92 0.96
2   5   5   0.88 0.92 0.96
2   6   6   0.88 0.92 0.96
2   7   7   0.88 0.92 0.96
2   8   8   0.88 0.92 0.96
2   9   9   0.88 0.92 0.96
2  10  10   0.88 0.92 0.96
2  11  11   0.60 0.64 0.68
2  12  12   0.60 0.64 0.68
2  13  13   0.60 0.64 0.68
2  14  14   0.60 0.64 0.68
2  15  15   0.60 0.64 0.68
2  16   6   0.60 0.64 0.68
2  17   7   0.60 0.64 0.68
2  18   4   0.60 0.64 0.68
2  19  15   0.60 0.64 0.68
2  20   6   0.60 0.64 0.68
2  21   6   0.04 0.08 0.12
2  22  12   0.04 0.08 0.12
2  23  13   0.04 0.08 0.12
2  24   4   0.04 0.08 0.12
2  25   5   0.04 0.08 0.12
2  26   6   0.04 0.08 0.12
2  27   7   0.04 0.08 0.12
2  28   7   0.04 0.08 0.12
2  29   8   0.04 0.08 0.12
2  30   5   0.04 0.08 0.12
2  31  11   0.88 0.92 0.96
2  32  12   0.88 0.92 0.96
2  33  10   0.88 0.92 0.96
2  34   4   0.88 0.92 0.96
2  35   5   0.88 0.92 0.96
2  36   6   0.88 0.92 0.96
2  37  11   0.88 0.92 0.96
2  38  12   0.88 0.92 0.96
2  39   3   0.88 0.92 0.96
2  40   4   0.88 0.92 0.96
2  41   1   0.60 0.64 0.68
2  42   2   0.60 0.64 0.68
2  43   3   0.60 0.64 0.68
2  44   4   0.60 0.64 0.68
2  45  15   0.60 0.64 0.68
2  46   6   0.60 0.64 0.68
2  47   7   0.60 0.64 0.68
2  48   4   0.60 0.64 0.68
2  49   5   0.60 0.64 0.68
2  50   6   0.60 0.64 0.68
2  51   6   0.04 0.08 0.12
2  52   2   0.04 0.08 0.12
2  53  13   0.04 0.08 0.12
2  54  14   0.04 0.08 0.12
2  55   5   0.04 0.08 0.12
2  56   6   0.04 0.08 0.12
2  57   7   0.04 0.08 0.12
2  58   7   0.04 0.08 0.12
2  59   6   0.04 0.08 0.12
2  60   5   0.04 0.08 0.12
0   0   0   0.0   0.00   0.0

0.4 0.1 0.2 0.05 0.05 0 0.2
0.4 0.1 0.2 0.0 0.0 0 0.153496287


